cn,dd,gz,jy,name,url,xl
知名大数据分析、数字营销上市公司,深圳,35-56万,4年以上,招聘资深python,https://www.liepin.com/a/12985987.shtml,统招本科
国内知名社区类电商独角兽,"北京,上海,深圳",70-112万,3年以上,招聘高级开发工程师（Java/Python/Go/C++）,https://www.liepin.com/a/14496589.shtml,统招本科
国内知名的运动社交产品,深圳,18-30万,3年以上,招聘python后台开发工程师,https://www.liepin.com/a/14393335.shtml,统招本科
某知名互联网公司,"亚洲,深圳",20-33万,4年以上,招聘Python工程师,https://www.liepin.com/a/14367909.shtml,大专及以上
国内某上市公司,深圳-南山区,20-33万,1年以上,招聘python开发工程师,https://www.liepin.com/a/14792477.shtml,本科及以上
某知名运动APP,深圳,21-35万,3年以上,招聘Python后台开发工程师,https://www.liepin.com/a/14557061.shtml,统招本科
国内某500强民营企业,"北京,上海,深圳",36-48万,3年以上,招聘python软件工程师,https://www.liepin.com/a/14200217.shtml,学历不限
某互联网公司,深圳,26-46万,2年以上,招聘Python工程师,https://www.liepin.com/a/15218381.shtml,大专及以上
深圳安全领域知名企业,深圳-龙华区,20-33万,3年以上,招聘Python研发高级工程师(后端开发）,https://www.liepin.com/a/14898521.shtml,统招本科
上海图趣信息科技有限公司,上海-浦东新区,18-30万,2年以上,招聘测试开发工程师（C/python）,https://www.liepin.com/job/1918825063.shtml,统招本科
易居企业（中国）集团有限公司,上海,面议,2年以上,招聘python开发,https://www.liepin.com/job/1915671546.shtml,本科及以上
矩阵元技术(深圳)有限公司,上海,面议,3年以上,招聘Python开发工程师,https://www.liepin.com/job/1920612395.shtml,统招本科
埃森哲(中国)有限公司,上海,17-33万,5年以上,招聘[ATCC]Python高级开发工程师,https://www.liepin.com/job/1916271151.shtml,大专及以上
探知数据,上海-静安区,18-36万,经验不限,招聘爬虫工程师(Java/Python) (职位编号：00004),https://www.liepin.com/job/1915402069.shtml,本科及以上
拍拍贷,上海-浦东新区,28-42万,2年以上,招聘运维专家-Go/Python / Perl / PowerShell,https://www.liepin.com/job/1917718539.shtml,统招本科
上海斯睿德信息技术有限公司,上海,面议,1年以上,招聘python爬虫工程师,https://www.liepin.com/job/1918067291.shtml,大专及以上
